metric,value
rows_audit_all_items,1332
rows_train_ready_recommendable,974
rows_removed_not_recommendable,358
menu_reference_records_loaded,3762
menu_reference_matches,0
item_type:menu,270
item_type:raw_ingredient,247
item_type:local_food_or_menu,193
item_type:vegetable,168
item_type:fruit,104
item_type:ingredient_only,92
item_type:snack,77
item_type:staple,56
item_type:protein_dish,52
item_type:plant_protein,31
item_type:drink,23
item_type:raw_staple,19
exclusion_reason:included,974
exclusion_reason:raw_or_unprepared_component,247
exclusion_reason:bumbu_condiment_or_raw_component,92
exclusion_reason:uncooked_staple_or_flour,19
